Source IP,Destination IP,Source MAC,Destination MAC,IP Version,TTL,Checksum,Packet Size,Passing Time,Protocol,Identifier,Sequence,ICMP Type,ICMP Code,HTTP Method,Flow Label,Traffic Class,Hop Limit,Next Header,Fragment Offset,Flags
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1177,1211 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1211 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1177,1211 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1211 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1177,1211 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1211 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1181,1215 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1215 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1181,1215 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1215 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1181,1215 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1215 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1181,1215 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1215 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1181,1215 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1215 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1181,1215 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1215 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 366,400 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,400 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1182,1216 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1216 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1182,1216 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1216 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1182,1216 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1216 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1182,1216 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1216 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1182,1216 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1216 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
192.168.55.103,34.0.249.220,2c:f0:5d:81:6f:60,9c:65:ee:10:5f:b7,4,128,UDP Length: 72,106 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
192.168.55.103,34.0.249.220,N/A,N/A,IPv4,128,N/A,106 bytes,2024-09-06 23:03:53,IP (TTL: 128),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 399,433 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,433 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1205,1239 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1239 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1206,1240 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1240 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1206,1240 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1240 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 398,432 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,432 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1206,1240 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1240 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1206,1240 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1240 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1159,1193 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1193 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1160,1194 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1194 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1160,1194 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1194 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1160,1194 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1194 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 393,427 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,427 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
34.0.249.220,192.168.55.103,9c:65:ee:10:5f:b7,2c:f0:5d:81:6f:60,4,59,UDP Length: 1160,1194 bytes,2024-09-06 23:03:53,UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
34.0.249.220,192.168.55.103,N/A,N/A,IPv4,59,N/A,1194 bytes,2024-09-06 23:03:53,IP (TTL: 59),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,DF
